id,Nombre,Biblioteca de figuras,ID de página,Contenido por,Grupo,Origen de línea,Destino de la línea,Flecha de origen,Flecha de destino,Área de texto 1,Área de texto 2,Área de texto 3,Área de texto 4,Área de texto 5,Área de texto 6,Área de texto 7,Área de texto 8,Área de texto 9,Área de texto 10,Área de texto 11,Área de texto 12,Área de texto 13,Área de texto 14,Área de texto 15,Área de texto 16,Área de texto 17,Área de texto 18,Área de texto 19,Área de texto 20,Área de texto 21,Área de texto 22,Área de texto 23,Área de texto 24,Área de texto 25,Área de texto 26,Área de texto 27,Área de texto 28,Área de texto 29,Área de texto 30,Área de texto 31,Área de texto 32,Área de texto 33,Área de texto 34,Área de texto 35,Área de texto 36,Área de texto 37,Área de texto 38,Área de texto 39,Área de texto 40,Área de texto 41,Área de texto 42,Área de texto 43
37,Entidad,Relación entre entidades,1,,,,,,,TemaUnidad,nombreTema,Se almacena el nombre de la unidad ,Cadena de caracteres alfanuméricos de máximo 10 caracteres,saber,Se almacena el objetivo de la materia,Cadena de caracteres alfanuméricos de máximo 15 caracteres,saberhacer,Se almacena la cantidad de horas teóricas,Entero [1-99],ser,Se almacena la cantidad de horas prácticas,Entero[1-99],unidadId,Se almacena el identificador para cada hoja de asignatura creada,Entero Autoincrementable Llave primaria,createDate,Se almacena la fecha de creación del registro,Fecha y hora,,,,,,,,,,,,,,,,,,,,,,,,
38,Entidad,Relación entre entidades,1,,,,,,,HorarioGrupal,horgpalId,Se almacena el identificador del horario,Entero Autoincrementable Llave primaria,grupoId,Se almacena el grupo al que pertenece el horario,Entero Llave foránea de Grupos,elaboraId,Se almacena la clave de la persona que realiza el horario,Entero Llave foránea de DirectoresCarrera,autorizaId,Se almacena la clave de la persona que autoriza el horario,Entero Llave foránea de Trabajadores,hojaasId,Cada materia puede tener solo una hoja de asignatura,Entero llave foránea de Trabajadores,createDate,Se almacena la fecha de creación del registro,Fecha y hora,,,,,,,,,,,,,,,,,,,,,,,,
39,Entidad,Relación entre entidades,1,,,,,,,DetalleHorario,dethorId,Se almacena el identificador del detalle del horario,Entero Autoincrementable Llave primaria,cvMateria,Se almacena el coigo de la materia que pertenece al horario grupal,Entero Llave foránea de Materias,dethorDia,Se almacena el día que corresponde a la materia en el horario,Cadena de caracteres de máximo 10 caracteres,horaInicio,Se  almacena la hora que inicia  la clase,Hora,horaFin,Se almacena la hora en que finaliza la clase,Hora,horarioId,se almacena el horario al  que pertenece el detalle,Entero Llave fránea de HorarioGrupal,createDate,Se almacena la fecha de creación del registro,Fecha y hora,,,,,,,,,,,,,,,,,,,,,
40,Entidad,Relación entre entidades,1,,,,,,,Bibliografias,cveMateria,Se almacena la clave de la materia a la que se le asigna cada bibliografía,Entero Llave foránea de Materias,biblioId,Se almacena el identificador para cada bibliografía,Entero Autoincrementable Llave primaria,tipoBiblio,"Se almacena el tipo de bibliografía, si es la sugerida por la hoja de asignatura o si es propuesta del docente",Cadena de caracteres alfanuméricos de máximo 15 caracteres,createDate,Se almacena la fecha de creación del registro,Fecha y hora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Entidad,Relación entre entidades,1,,,,,,,FuenteBiblio,liBi_Id,Se almacena el identificador para cada referencia de la bibliografía,Entero Autoincrementable Llave primaria,biblioId,Se almacena la clave de la bibliografía a la que pertenece la referencia,Entero Llave foránea de Materias,fuenteId,Se almacena la clave de la referencia a la que pertenece la  bibliografía,Entero Llave foránea de Competencias,createDate,Se almacena la fecha de creación del registro,Fecha y hora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Entidad,Relación entre entidades,1,,,,,,,Fuente,fuenteId,Se almacena el identificador para cada lreferencia,Entero Autoincrementable Llave primaria,nombreFuente,Se almacena el nombre del libro,Cadena de caracteres alfanumérico de áximo 200 caracteres,descFuente,Se almacena la clave del libro a la que pertenece la  bibliografía,Cadena de caracteres alfanuméricos de máximo 500 caracteres,autorFuente,Se almacena el nombre del autor o autores,Cadena de caracteres alfanumérico de máximo 100 caracteres,ciudadFuente,Se almacena la Ciudad de la fuente,Cadena de caracteres alfanumérico de máximo 30 caracteres,paisFuente,Se almacena el país de la fuente,Cadena de caracteres alfanumérico de máximo 30 caracteres,editorialFuente,Se almacena la editorial de la fuente,Cadena de caracteres alfanumérico de máximo 30 caracteres,tipoFuente,"Se almacena el tipo de fuente, libro, articulo, tesis, etc.","Cadena de caracteres alfanumericos, con un máximo de 20 caracteres",createDate,Se almacena la fecha de creación del registro,Fecha y hora,,,,,,,,,,,,,,,
43,Entidad,Relación entre entidades,1,,,,,,,AsignacionMateria,asigId,Se almacena el identificador de la asignación,Entero Autoincrementable Llave primaria,docenteId,Se almacena la clave del docente que impartirá la materia,Entero Llave foránea de Trabajadores,materiaId,Se almacena la clave de la materia,Entero Llave foránea de Materia,asignaId,"Se almacena la clave de quien asigna la materia, del director de carrera",Entero Llave foránea de DirectoresCarrera,hojaasId,Cada materia puede tener solo una hoja de asignatura,Entero llave foránea de Trabajadores,createDate,Se almacena la fecha de creación del registro,Fecha y hora,,,,,,,,,,,,,,,,,,,,,,,,
44,Entidad,Relación entre entidades,1,,,,,,,PlaneacionAcademia,tipcursoId,Se almacena la clave del tipo de curso que será la materia,Entero Llave foránea de TiposCurso,elabId,Se almacena la clave del listado de docentes involucrados en la planeación,Entero Llave foránea de ElabPlanAca,academiaId,Se almacena la clave de la academia,Entero Llave foránea de Academia,materiaId,Se almacena la clave da la materia a la que se le esta asignando esta planeación de academia,Entero Llave foránea de Materia,fechaElab,Se almacena la fecha de elaboración de la Planeación,Fecha,fechaAut,Se almacena la fecha de autorización de la planeación por parte de la academia,Fecha,createDate,Se almacena la fecha de creación del registro,Fecha y hora,planAcaId,Se almacena el identificador de la planeación de academia,Entero Autoincrementable Llave primaria,statusPlanAcad,Se almacena el estatus de la planeación,"Cadena de caracteresc(Borrador, Creado, En revisión, probado con observaciones, sin aprobar con observaciones, rechazado, aceptaco)",,,,,,,,,,,,,,,
45,Entidad,Relación entre entidades,1,,,,,,,ElabPlanAcad,docenteId,Se almacena la clave del docente que impartirá la materia,Entero Llave foránea de AsignacionMateria,planAcadId,Se almacena la clave de la planeación de academia,Entero Llave foránea de PlaneacionAcademia,elabId,Se almacena el identificador de la lista de los involucrados en la elaboración de la planeación de academia,Entero Autoincrementable Llave primaria,createDate,Se almacena la fecha de creación del registro,Fecha y hora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Entidad,Relación entre entidades,1,,,,,,,TiposCurso,tipocursoId,Se almacena la clave del tipo de curso,Entero Autoincrementable Llave primaria,tipcurNom,Se almacena el nombre del tipo de curso,Cadena de caracteres alfanuméricos de un máximo de 50 caracteres,tipcurDesc,Se almacena una descripción de cada tipo de curso,Cadena de texto de no más de 250 caracteres,createDate,Se almacena la fecha de creación del registro,Fecha y hora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Entidad,Relación entre entidades,1,,,,,,,ProyeccionAvance,proyavId,Se almacena el identificador de la proyección de avance por unidad,Entero Autoincrementable Llave primaria,planeacionId,Se almacena la planeación a la que pertenece la proyección,Entero Llave foránea de PlaneacionAcademia,createDate,Se almacena la fecha de creación del registro,Fecha y hora,semanas,Se almacena el número de semanas que cubrirá la unidad ,Cadena de caracteres de máximo 20 caracteres,porcentaje,Se almacena el porcentaje que corresponde a la unidad ,Decimal de 5 números enteros y 2 ,unidadId,Se almacena la Unidad a la que pertenece la proyección,Entero Llaveforánea de Unidades,,,,,,,,,,,,,,,,,,,,,,,,
