id,Nombre,Biblioteca de figuras,ID de página,Contenido por,Grupo,Origen de línea,Destino de la línea,Flecha de origen,Flecha de destino,Área de texto 1,Área de texto 2,Área de texto 3,Área de texto 4,Área de texto 5,Área de texto 6,Área de texto 7,Área de texto 8,Área de texto 9,Área de texto 10,Área de texto 11,Área de texto 12,Área de texto 13,Área de texto 14,Área de texto 15,Área de texto 16,Área de texto 17,Área de texto 18,Área de texto 19,Área de texto 20,Área de texto 21,Área de texto 22,Área de texto 23,Área de texto 24,Área de texto 25
29,Línea,,1,,,10,11,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,,,,,
30,Línea,,1,,,12,10,CFN ERD One Or More Arrow,CFN ERD One Arrow,,,,,,,,,,,,,,,,,,,,,,,,,
31,Línea,,1,,,5,14,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,,,,,
32,Línea,,1,,,8,15,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,,,,,
33,Línea,,1,,,5,15,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,,,,,
34,Línea,,1,,,5,15,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,,,,,
35,Línea,,1,,,15,17,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,,,,,
36,Línea,,1,,,5,18,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,,,,,
37,Línea,,1,,,5,18,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,,,,,
38,Línea,,1,,,6,18,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,,,,,
39,Línea,,1,,,9,18,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,,,,,
40,Línea,,1,,,7,18,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,,,,,
41,Línea,,1,,,18,19,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,,,,,
42,Línea,,1,,,8,19,CFN ERD One Arrow,CFN ERD Many Arrow,Texto,,,,,,,,,,,,,,,,,,,,,,,,
43,Línea,,1,,,5,20,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,,,,,
44,Línea,,1,,,5,20,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,,,,,
45,Línea,,1,,,21,20,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,,,,,
46,Línea,,1,,,5,22,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,,,,,
47,Línea,,1,,,16,5,CFN ERD One Or More Arrow,CFN ERD One Arrow,,,,,,,,,,,,,,,,,,,,,,,,,
48,Línea,,1,,,5,4,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,,,,,
49,Línea,,1,,,6,5,CFN ERD One Or More Arrow,CFN ERD One Arrow,,,,,,,,,,,,,,,,,,,,,,,,,
50,Grupo 1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
